Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
103;PORTOVIEJO;VENTA DE COCO CARREÑO;Rio Chico;2,09;1;2,6;1;1,91;2;3,14;4,33;2;4,56;3,86;5;2,71;3,67;2,13;48 HORAS;1,71;3,8;2;2;5;2;3,67;1;1,33;2;2,33;2;1100;1,92;4,78
104;ROCAFUERTE;COMERCIO DE GANADO RODRIGUEZ;Calle Atahualpa y Atanacio Santos;1,45;1;2,2;1;1,82;1,14;4,43;4,33;2;4,11;5;5;3;3,67;1,88;48 HORAS;2;3;1,17;2;5;2,17;3,67;1;1;2,2;2,17;2;1200;2;4,94
105;SUCRE;VIDRIERÍA FRANCO;Av Las Américas y 10 de agosto;1,91;1,6;2,2;1,6;1,91;2,43;3,86;4,33;2;4,11;4,43;4,63;2,57;3,17;2,25;48 HORAS;1,57;3;2,17;2,18;5;1,67;3,67;1;1,17;2;2,17;3;1000;2;5
106;SUCRE;COMERCIO DE CHANCHO OLMEDO;Manabí y Manuel Davila;1,73;1,4;2,8;1;1,18;1,57;4,14;4,33;2;4,11;3,29;4,63;2,57;3,17;2,25;48 HORAS;1,43;2,8;1,5;1,73;5;2;3,67;1;1;2,4;2,5;2;1500;1,92;4,89
107;ROCAFUERTE;ALMACÉN DE ELECTRODOMESTICO MUÑOZ;Calle 30 de septiembre y Eloy Alfaro;1,91;1,6;2,4;1;1,18;1,86;3,14;4,33;2;3,67;5;5;2,29;3,67;1,88;48 HORAS;1,43;3,8;1,33;1,73;5;2,17;3,67;1;1,17;1,8;2,67;2;1900;1,58;4,89
108;ROCAFUERTE;VENTA DE ARROZ ZAMBRANO;San Eloy ;2;1,2;2,6;1;1,45;1,71;4;4,33;2;4,11;3,86;4,25;1,86;2,83;2,13;45 HORAS;1,57;2,6;2,17;1,91;5;2,5;3,67;1;1,17;2;2,5;3;1100;2;4,61
109;SUCRE;TIENDA SOLORZANO;Tierras Amarillas;2;1,8;2,2;1,2;1,18;1,43;3,57;4,33;1;4,56;3,43;5;3,29;3,67;1,75;54 HORAS;1,86;2,8;1,5;2,27;5;2,33;3,67;1;1,83;2,2;2,33;2;1000;1,75;4,78
110;ROCAFUERTE;VENTA DE CACAO RIVADENEIRA;El Pueblito;1,27;1;1,6;1;1,91;1,29;1;3,5;1;3,67;1;3,75;2,29;3,17;1,75;48 HORAS;2,29;4;1;1,55;5;1,67;4;1;1;1;1,5;2;1300;2;4
111;SUCRE;VENTA DE MARISCO ANCHUNDIA;San Clemente;1,27;1;1;1;2,09;1,43;1;3,67;1;3,67;1;3,75;3;3,17;1,75;52 HORAS;2,14;4;1;1,73;5;1,67;4;1;1;1;1,5;2;1200;1,92;4
112;SUCRE;TIENDA VELEZ;Eloy Alfaro y José Gilces;1,45;2;1,4;1;1,73;2;1;3;2;3,33;1;4;3,71;3,17;1,75;54 HORAS;1,71;4;1;1,64;5;1,17;4;1;1;1;2,17;2;1100;2;4
113;ROCAFUERTE;VENTA DE ARROZ DELGADO;California;1,27;1;1,6;1;1,91;1,43;1;3,5;1;3,67;1;3,5;2,71;3,17;1,75;50 HORAS;2,14;4;1;1,55;5;1,67;4;1;1;1;1,5;2;1200;1,92;4
114;SUCRE;VENTA DE MARISCOS BAILON;San Jacinto;1;1;1;1;1,82;1,14;1;3,5;1;3,67;1;3,63;3;3,17;1,75;52 HORAS;2,14;4;1;1,82;5;1,67;4;2;1;1;1,5;2;1200;1,92;4
115;SUCRE;VENTA DE ARROZ CONFORME ;Pasadero;1,27;1;1,6;1;2;1,14;1;3,5;2;3,67;1;3,75;3;3,5;1,75;48 HORAS;1,43;4;1;1,55;5;1;4;1;1;1;1,5;2;1400;2;4
116;ROCAFUERTE;VENTA DE ARROZ GARCIA;California;1,27;1;1;1;1,18;1,14;1;3,5;2;3,67;1;3,75;3;3,5;1,75;48 HORAS;1,43;4;1;1,55;5;1;4;1;1;1;1,5;2;1300;2;4
